title,category,subcategory,url,description,duration,level,format,price,language,scraped_at
Development on Creatio platform,Instructor-led Training,,https://academy.creatio.com/training/development-creatio-platform-5,,25 hours,Beginner,,,en,2025-08-01T15:44:51.316975
Creatio administration and configuration (AUS),Instructor-led Training,,https://academy.creatio.com/training/creatio-administration-and-configuration-aus,,27 hours,,,,en,2025-08-01T15:44:53.732301
Creatio administration and configuration (US),Instructor-led Training,,https://academy.creatio.com/training/creatio-administration-and-configuration-us-0,,27 hours,,,,en,2025-08-01T15:44:56.189579
Creatio.ai,Instructor-led Training,,https://academy.creatio.com/training/creatioai-1,,6 hours,,,,en,2025-08-01T15:44:58.651443
Development on Creatio platform,Instructor-led Training,,https://academy.creatio.com/training/development-creatio-platform-4,,25 hours,Beginner,,,en,2025-08-01T15:45:01.154821
Creatio administration and configuration (US),Instructor-led Training,,https://academy.creatio.com/training/creatio-administration-and-configuration-us,,27 hours,,,,en,2025-08-01T15:45:03.599942
Creatio administration and configuration,Instructor-led Training,,https://academy.creatio.com/training/creatio-administration-and-configuration-3,,27 hours,,,,en,2025-08-01T15:45:06.022086
Service Creatio functionality for end-users,Instructor-led Training,,https://academy.creatio.com/training/service-creatio-functionality-end-users,,4 days,,Online,,en,2025-08-01T15:45:08.372678
Marketing Creatio functionality for end-users,Instructor-led Training,,https://academy.creatio.com/training/marketing-creatio-functionality-end-users,,4 days,,Online,,en,2025-08-01T15:45:10.838092
Full CRM bundle functionality for end-users,Instructor-led Training,,https://academy.creatio.com/training/full-crm-bundle-functionality-end-users,,8 days,,Online,,en,2025-08-01T15:45:13.391257
Sales Creatio functionality for end-users,Instructor-led Training,,https://academy.creatio.com/training/sales-creatio-functionality-end-users,,4 days,,Online,,en,2025-08-01T15:45:15.866141
Development on Creatio platform,Instructor-led Training,,https://academy.creatio.com/training/development-creatio-platform-0,,10 days,,Online,,en,2025-08-01T15:45:18.521954
Creatio administration and configuration,Instructor-led Training,,https://academy.creatio.com/training/creatio-administration-and-configuration-0,,10 days,,Online,,en,2025-08-01T15:45:20.900453
NO-CODE PLAYBOOK: Creator,E-Learning,,https://academy.creatio.com/e-learning/no-code-playbook-creator,,4 hours,,,,en,2025-08-01T15:45:26.191248
No-code Playbook: Leader,E-Learning,,https://academy.creatio.com/e-learning/no-code-playbook-leader,,4 hours,Advanced,,,en,2025-08-01T15:45:28.754777
PLATFORM,E-Learning,,https://academy.creatio.com/e-learning/platform,,1 hour,,,,en,2025-08-01T15:45:31.209110
COMMON FEATURES,E-Learning,,https://academy.creatio.com/e-learning/common-features,,1 hour,,,,en,2025-08-01T15:45:33.533765
MARKETING TOOLS,E-Learning,,https://academy.creatio.com/e-learning/marketing-tools,,2 hours,,,,en,2025-08-01T15:45:35.919866
SALES TOOLS,E-Learning,,https://academy.creatio.com/e-learning/sales-tools,,2 hours,,,,en,2025-08-01T15:45:38.273453
SERVICE TOOLS,E-Learning,,https://academy.creatio.com/e-learning/service-tools,,2 hours,,,,en,2025-08-01T15:45:40.593000
SETUP AND ADMINISTRATION,E-Learning,,https://academy.creatio.com/e-learning/setup-and-administration,,2 hours,,,,en,2025-08-01T15:45:43.104602
DEVELOPMENT ON CREATIO PLATFORM,E-Learning,,https://academy.creatio.com/e-learning/development-creatio-platform,,2 hours,,,,en,2025-08-01T15:45:45.561291
BPM TOOLS,E-Learning,,https://academy.creatio.com/e-learning/bpm-tools,,2 hours,,,,en,2025-08-01T15:45:48.107617
Tech Hour: Creatio 8.3 Twin Release Highlights,E-Learning,,https://academy.creatio.com/e-learning/tech-hour-creatio-83-twin-release-highlights,,2 hours,,,,en,2025-08-01T15:45:50.460283
Tech Hour: Building Landing Pages with Creatio,E-Learning,,https://academy.creatio.com/e-learning/tech-hour-building-landing-pages-creatio,,1 hour,,,,en,2025-08-01T15:45:52.816532
Tech Hour: Creatio 8.2.3 Release Highlights,E-Learning,,https://academy.creatio.com/e-learning/tech-hour-creatio-823-release-highlights,,1 hour,,,,en,2025-08-01T15:45:55.180323
Tech Hour: Creatio 8.2.2 Release Highlights,E-Learning,,https://academy.creatio.com/e-learning/tech-hour-creatio-822-release-highlights,,1 hour,,,,en,2025-08-01T15:45:57.529087
Tech Hour: Email Marketing â€“ Mastering the New Email Designer,E-Learning,,https://academy.creatio.com/e-learning/tech-hour-email-marketing-mastering-new-email-designer,,1 hour,,,,en,2025-08-01T15:45:59.883467
Tech Hour: Creatio AI,E-Learning,,https://academy.creatio.com/e-learning/tech-hour-creatio-ai,,1 hour,,,,en,2025-08-01T15:46:02.409748
Tech Hour: Creatio 8.2 Energy Release Highlights,E-Learning,,https://academy.creatio.com/e-learning/tech-hour-creatio-82-energy-release-highlights,,1 hour,,,,en,2025-08-01T15:46:04.798584
Tech Hour: Marketing emails,E-Learning,,https://academy.creatio.com/e-learning/tech-hour-marketing-emails,,1 hour,,,,en,2025-08-01T15:46:07.363315
Tech Hour: Creatio 8.1.4 Release Highlights,E-Learning,,https://academy.creatio.com/e-learning/tech-hour-creatio-814-release-highlights,,1 hour,,,,en,2025-08-01T15:46:09.916895
Tech Hour: 8.1.2 release highlights,E-Learning,,https://academy.creatio.com/e-learning/tech-hour-812-release-highlights,,1 hour,,,,en,2025-08-01T15:46:12.374072
