category,subcategory,title,url,description,duration,level,format,price,language,scraped_at
Instructor-led Training,,Development on Creatio platform,https://academy.creatio.com/training/development-creatio-platform-5,,25 hours,Beginner,,,en,2025-08-01T15:44:51.316975
Instructor-led Training,,Creatio administration and configuration (AUS),https://academy.creatio.com/training/creatio-administration-and-configuration-aus,,27 hours,,,,en,2025-08-01T15:44:53.732301
Instructor-led Training,,Creatio administration and configuration (US),https://academy.creatio.com/training/creatio-administration-and-configuration-us-0,,27 hours,,,,en,2025-08-01T15:44:56.189579
Instructor-led Training,,Creatio.ai,https://academy.creatio.com/training/creatioai-1,,6 hours,,,,en,2025-08-01T15:44:58.651443
Instructor-led Training,,Development on Creatio platform,https://academy.creatio.com/training/development-creatio-platform-4,,25 hours,Beginner,,,en,2025-08-01T15:45:01.154821
Instructor-led Training,,Creatio administration and configuration (US),https://academy.creatio.com/training/creatio-administration-and-configuration-us,,27 hours,,,,en,2025-08-01T15:45:03.599942
Instructor-led Training,,Creatio administration and configuration,https://academy.creatio.com/training/creatio-administration-and-configuration-3,,27 hours,,,,en,2025-08-01T15:45:06.022086
Instructor-led Training,,Service Creatio functionality for end-users,https://academy.creatio.com/training/service-creatio-functionality-end-users,,4 days,,Online,,en,2025-08-01T15:45:08.372678
Instructor-led Training,,Marketing Creatio functionality for end-users,https://academy.creatio.com/training/marketing-creatio-functionality-end-users,,4 days,,Online,,en,2025-08-01T15:45:10.838092
Instructor-led Training,,Full CRM bundle functionality for end-users,https://academy.creatio.com/training/full-crm-bundle-functionality-end-users,,8 days,,Online,,en,2025-08-01T15:45:13.391257
Instructor-led Training,,Sales Creatio functionality for end-users,https://academy.creatio.com/training/sales-creatio-functionality-end-users,,4 days,,Online,,en,2025-08-01T15:45:15.866141
Instructor-led Training,,Development on Creatio platform,https://academy.creatio.com/training/development-creatio-platform-0,,10 days,,Online,,en,2025-08-01T15:45:18.521954
Instructor-led Training,,Creatio administration and configuration,https://academy.creatio.com/training/creatio-administration-and-configuration-0,,10 days,,Online,,en,2025-08-01T15:45:20.900453
E-Learning,,NO-CODE PLAYBOOK: Creator,https://academy.creatio.com/e-learning/no-code-playbook-creator,,4 hours,,,,en,2025-08-01T15:45:26.191248
E-Learning,,No-code Playbook: Leader,https://academy.creatio.com/e-learning/no-code-playbook-leader,,4 hours,Advanced,,,en,2025-08-01T15:45:28.754777
E-Learning,,PLATFORM,https://academy.creatio.com/e-learning/platform,,1 hour,,,,en,2025-08-01T15:45:31.209110
E-Learning,,COMMON FEATURES,https://academy.creatio.com/e-learning/common-features,,1 hour,,,,en,2025-08-01T15:45:33.533765
E-Learning,,MARKETING TOOLS,https://academy.creatio.com/e-learning/marketing-tools,,2 hours,,,,en,2025-08-01T15:45:35.919866
E-Learning,,SALES TOOLS,https://academy.creatio.com/e-learning/sales-tools,,2 hours,,,,en,2025-08-01T15:45:38.273453
E-Learning,,SERVICE TOOLS,https://academy.creatio.com/e-learning/service-tools,,2 hours,,,,en,2025-08-01T15:45:40.593000
E-Learning,,SETUP AND ADMINISTRATION,https://academy.creatio.com/e-learning/setup-and-administration,,2 hours,,,,en,2025-08-01T15:45:43.104602
E-Learning,,DEVELOPMENT ON CREATIO PLATFORM,https://academy.creatio.com/e-learning/development-creatio-platform,,2 hours,,,,en,2025-08-01T15:45:45.561291
E-Learning,,BPM TOOLS,https://academy.creatio.com/e-learning/bpm-tools,,2 hours,,,,en,2025-08-01T15:45:48.107617
E-Learning,,Tech Hour: Creatio 8.3 Twin Release Highlights,https://academy.creatio.com/e-learning/tech-hour-creatio-83-twin-release-highlights,,2 hours,,,,en,2025-08-01T15:45:50.460283
E-Learning,,Tech Hour: Building Landing Pages with Creatio,https://academy.creatio.com/e-learning/tech-hour-building-landing-pages-creatio,,1 hour,,,,en,2025-08-01T15:45:52.816532
E-Learning,,Tech Hour: Creatio 8.2.3 Release Highlights,https://academy.creatio.com/e-learning/tech-hour-creatio-823-release-highlights,,1 hour,,,,en,2025-08-01T15:45:55.180323
E-Learning,,Tech Hour: Creatio 8.2.2 Release Highlights,https://academy.creatio.com/e-learning/tech-hour-creatio-822-release-highlights,,1 hour,,,,en,2025-08-01T15:45:57.529087
E-Learning,,Tech Hour: Email Marketing â€“ Mastering the New Email Designer,https://academy.creatio.com/e-learning/tech-hour-email-marketing-mastering-new-email-designer,,1 hour,,,,en,2025-08-01T15:45:59.883467
E-Learning,,Tech Hour: Creatio AI,https://academy.creatio.com/e-learning/tech-hour-creatio-ai,,1 hour,,,,en,2025-08-01T15:46:02.409748
E-Learning,,Tech Hour: Creatio 8.2 Energy Release Highlights,https://academy.creatio.com/e-learning/tech-hour-creatio-82-energy-release-highlights,,1 hour,,,,en,2025-08-01T15:46:04.798584
E-Learning,,Tech Hour: Marketing emails,https://academy.creatio.com/e-learning/tech-hour-marketing-emails,,1 hour,,,,en,2025-08-01T15:46:07.363315
E-Learning,,Tech Hour: Creatio 8.1.4 Release Highlights,https://academy.creatio.com/e-learning/tech-hour-creatio-814-release-highlights,,1 hour,,,,en,2025-08-01T15:46:09.916895
E-Learning,,Tech Hour: 8.1.2 release highlights,https://academy.creatio.com/e-learning/tech-hour-812-release-highlights,,1 hour,,,,en,2025-08-01T15:46:12.374072
